#{"t_start": 1742503441.666784, "env_id": "None"}
r,l,t
20.0,15,8.826458
15.0,8,8.827575
10.0,19,8.83029
-95.0,9,8.831678
-90.0,7,8.832675
-10.0,12,8.834349
-30.0,20,8.8371
-85.0,8,8.83822
0.0,11,8.839761
-5.0,13,8.841566
25.0,10,8.842977
5.0,6,8.843821
0.0,8,8.845017
5.0,9,8.846327
20.0,6,8.847218
20.0,12,8.84893
-95.0,9,8.850211
-15.0,14,8.852338
-10.0,15,8.854451
-10.0,12,8.856116
-5.0,7,8.857094
20.0,6,8.857936
0.0,8,8.859119
10.0,10,8.860526
30.0,8,8.861658
20.0,6,8.862507
-5.0,7,8.86351
0.0,8,8.864628
-95.0,46,8.87099
0.0,14,8.873053
-195.0,37,8.878082
0.0,8,8.879298
-5.0,7,8.880332
10.0,10,8.881727
-20.0,19,8.88432
15.0,8,8.885429
115.0,8,8.886961
5.0,6,8.887825
-35.0,22,8.891843
-90.0,10,8.893694
-135.0,59,8.908901
-95.0,9,8.91028
-20.0,22,8.913419
30.0,14,8.915684
-85.0,11,8.917367
0.0,11,8.918979
25.0,13,8.921056
10.0,7,8.923211
-80.0,6,8.924111
-5.0,10,8.925885
0.0,11,8.927547
-100.0,11,8.92915
0.0,11,8.930916
15.0,11,8.932547
-20.0,25,8.936198
5.0,9,8.937479
5.0,6,8.93839
15.0,11,8.939927
0.0,11,8.941442
-120.0,16,8.943941
5.0,6,8.944806
-250.0,126,8.963064
10.0,10,8.964586
20.0,6,8.965486
-5.0,7,8.966519
-5.0,7,8.967543
20.0,6,8.968425
-15.0,11,8.969998
0.0,8,8.97139
-40.0,27,8.975268
15.0,11,8.976862
-85.0,8,8.981907
-45.0,29,8.986152
-90.0,10,8.98756
15.0,8,8.988685
5.0,6,8.989535
-80.0,6,8.995731
-5.0,7,8.996781
10.0,7,8.997896
5.0,6,8.998774
-20.0,16,9.000927
25.0,7,9.001908
35.0,6,9.002758
0.0,11,9.004318
-135.0,10,9.005712
-95.0,9,9.006935
-5.0,7,9.007904
-10.0,12,9.009542
30.0,8,9.010636
-30.0,20,9.013302
-20.0,10,9.014647
-130.0,23,9.017685
10.0,7,9.018731
0.0,11,9.020274
-5.0,13,9.022063
5.0,9,9.023329
-15.0,11,9.024851
-15.0,20,9.027577
-75.0,4,9.028147
-15.0,17,9.030475
-90.0,13,9.032284
-95.0,9,9.033504
5.0,6,9.034331
15.0,11,9.035805
-25.0,21,9.038583
-5.0,7,9.039672
10.0,13,9.041496
-115.0,23,9.044664
-15.0,14,9.046648
-85.0,8,9.047749
15.0,5,9.048469
15.0,5,9.049182
-35.0,25,9.052579
55.0,13,9.054376
-85.0,11,9.055852
-15.0,14,9.057718
-95.0,9,9.058945
-35.0,28,9.062743
-10.0,15,9.064739
-75.0,7,9.065687
-90.0,10,9.067054
5.0,9,9.068254
-25.0,39,9.073387
-5.0,10,9.074747
-85.0,8,9.075815
0.0,11,9.077283
-20.0,22,9.080185
-85.0,8,9.081324
-85.0,8,9.08241
-25.0,18,9.085056
10.0,10,9.086409
-60.0,23,9.08958
0.0,29,9.093506
-15.0,11,9.423011
5.0,6,9.423928
-60.0,38,9.429144
5.0,6,9.430005
-20.0,28,9.433843
-5.0,7,9.43483
-85.0,48,9.441267
15.0,8,9.442391
15.0,14,9.444305
-10.0,15,9.446354
-215.0,76,9.457227
0.0,14,9.459153
25.0,7,9.460144
0.0,14,9.462058
0.0,8,9.463248
-55.0,27,9.467043
0.0,14,9.46904
-25.0,15,9.471151
-120.0,19,9.473725
5.0,6,9.474579
-5.0,13,9.476425
-85.0,8,9.477726
10.0,7,9.478799
-10.0,9,9.480128
5.0,9,9.481418
10.0,7,9.482438
5.0,6,9.483402
-10.0,21,9.486484
5.0,27,9.490279
50.0,12,9.491973
25.0,10,9.493379
-10.0,15,9.495488
10.0,16,9.497728
20.0,9,9.498985
-35.0,19,9.501595
20.0,9,9.502861
15.0,5,9.503573
-10.0,9,9.504874
10.0,7,9.505868
20.0,9,9.507121
-5.0,13,9.508909
-80.0,6,9.509742
-30.0,17,9.512145
135.0,10,9.513543
-35.0,22,9.516546
15.0,8,9.51766
-10.0,9,9.518994
-100.0,14,9.520924
-25.0,18,9.523371
35.0,6,9.524215
20.0,6,9.525127
0.0,8,9.526351
-10.0,27,9.5302
-20.0,31,9.534583
-10.0,15,9.536689
-80.0,6,9.537552
30.0,8,9.538761
-5.0,13,9.540637
0.0,17,9.543048
-65.0,34,9.547823
-70.0,5,9.548533
-5.0,13,9.550326
5.0,6,9.55117
15.0,8,9.552288
-10.0,9,9.553552
-20.0,19,9.556147
-10.0,12,9.557793
20.0,6,9.558636
15.0,8,9.559746
-35.0,22,9.56272
-70.0,30,9.566754
-90.0,7,9.567727
-20.0,16,9.56991
15.0,8,9.57101
5.0,12,9.572654
-90.0,7,9.573621
-35.0,25,9.577003
15.0,8,9.578115
10.0,10,9.579491
0.0,11,9.581002
-85.0,42,9.58664
-25.0,24,9.589886
-90.0,10,9.591253
15.0,8,9.592523
-10.0,12,9.594216
10.0,7,9.595203
20.0,6,9.596053
-135.0,77,9.606314
25.0,7,9.607312
10.0,10,9.608679
-50.0,25,9.612019
-200.0,106,9.62641
-85.0,8,9.627498
-25.0,21,9.630295
-50.0,31,9.634369
-5.0,16,9.636468
20.0,6,9.637289
10.0,10,9.638618
50.0,6,9.63944
-80.0,6,9.640247
-80.0,6,9.64106
10.0,7,9.641999
-220.0,102,9.655154
-5.0,13,9.65687
-90.0,7,9.657805
-30.0,14,9.659648
15.0,14,9.661498
30.0,11,9.662967
-150.0,68,9.671759
-95.0,9,9.672954
-25.0,15,9.674927
-80.0,6,9.675728
0.0,8,9.676802
15.0,5,9.677486
20.0,6,9.67831
5.0,6,9.679119
0.0,11,9.680583
-5.0,7,9.681527
-85.0,8,9.682584
-95.0,9,9.683779
-30.0,26,9.687155
5.0,6,9.687963
-90.0,10,9.689319
-10.0,15,9.691288
20.0,6,9.692097
10.0,10,9.693413
-115.0,17,9.695645
5.0,6,9.696457
-190.0,102,9.961958
-35.0,31,9.966199
10.0,10,9.967596
5.0,6,9.968449
25.0,7,9.969432
5.0,6,9.97028
60.0,8,9.971393
25.0,7,9.972371
20.0,6,9.973215
5.0,6,9.974066
15.0,8,9.975182
-30.0,29,9.979092
-80.0,9,9.980352
20.0,6,9.981189
-25.0,30,9.985212
-5.0,7,9.98619
15.0,8,9.987312
-25.0,12,9.988955
15.0,8,9.99007
20.0,9,9.991321
15.0,5,9.992038
5.0,9,9.99328
-45.0,29,9.997198
-5.0,7,9.998181
5.0,9,9.999434
20.0,12,10.00108
-15.0,17,10.00341
-85.0,48,10.009833
-125.0,12,10.011464
15.0,8,10.012573
0.0,8,10.013682
-15.0,11,10.015194
-105.0,16,10.017362
15.0,5,10.018062
-35.0,19,10.02063
-15.0,17,10.022936
5.0,6,10.023775
-105.0,53,10.030842
15.0,5,10.031547
-85.0,11,10.033044
15.0,11,10.034548
25.0,7,10.035514
-30.0,23,10.038609
-5.0,7,10.039582
5.0,12,10.041212
-85.0,8,10.042298
15.0,8,10.043392
-105.0,13,10.045153
10.0,7,10.046123
5.0,12,10.047754
5.0,6,10.048599
-165.0,71,10.058008
-60.0,23,10.061104
5.0,15,10.06313
45.0,14,10.065031
-5.0,7,10.065996
25.0,13,10.067751
20.0,7,10.06871
10.0,7,10.069679
-5.0,13,10.071446
-45.0,26,10.074914
0.0,8,10.076021
10.0,7,10.07699
25.0,7,10.077959
-270.0,98,10.091612
15.0,8,10.092795
20.0,6,10.093669
15.0,11,10.095224
5.0,9,10.096513
-5.0,7,10.097532
20.0,6,10.098395
-5.0,13,10.100231
20.0,6,10.101093
-80.0,9,10.102364
-5.0,66,10.111377
-5.0,10,10.112776
-215.0,79,10.124698
-15.0,11,10.126333
5.0,9,10.127622
-5.0,19,10.130243
0.0,20,10.133021
-20.0,13,10.134831
-30.0,20,10.137573
15.0,5,10.138293
20.0,10,10.139678
30.0,14,10.141592
30.0,8,10.14271
-60.0,35,10.147472
5.0,6,10.148326
-125.0,15,10.150373
-105.0,16,10.154355
-70.0,33,10.159591
-5.0,7,10.160622
-5.0,10,10.162011
-170.0,24,10.165817
5.0,9,10.167479
-80.0,6,10.168319
-165.0,80,10.179756
45.0,5,10.180514
-100.0,57,10.188135
-95.0,12,10.189779
-10.0,21,10.19262
5.0,7,10.193601
-35.0,25,10.196942
10.0,10,10.198315
-10.0,15,10.200356
20.0,6,10.201195
-40.0,21,10.20399
-35.0,25,10.20742
5.0,6,10.208275
20.0,6,10.20911
0.0,14,10.210998
-5.0,7,10.21196
-10.0,9,10.213184
-5.0,7,10.214157
35.0,9,10.215388
-30.0,14,10.217298
5.0,9,10.218534
20.0,6,10.219388
-5.0,22,10.222346
-5.0,16,10.224487
10.0,7,10.22545
0.0,14,10.227344
-5.0,13,10.229093
-50.0,46,10.235185
15.0,8,10.236299
-40.0,30,10.480862
20.0,12,10.484173
-25.0,21,10.48848
-55.0,33,10.49586
-70.0,5,10.496709
-90.0,10,10.498341
0.0,8,10.499557
-5.0,7,10.500604
30.0,11,10.502199
5.0,12,10.503928
-10.0,18,10.507183
25.0,7,10.508272
5.0,18,10.511283
10.0,7,10.512307
5.0,6,10.513172
115.0,6,10.514632
5.0,6,10.515511
-135.0,65,10.52461
-40.0,21,10.527562
40.0,7,10.52855
5.0,6,10.532625
15.0,5,10.533383
5.0,18,10.535928
15.0,14,10.537922
20.0,6,10.53879
20.0,12,10.540488
-15.0,11,10.542052
0.0,8,10.543255
25.0,7,10.54427
60.0,14,10.546235
-30.0,29,10.55018
-35.0,10,10.551562
0.0,8,10.552684
-10.0,9,10.55393
5.0,12,10.555567
-15.0,17,10.557884
10.0,10,10.559257
-10.0,9,10.560495
-465.0,161,10.583566
0.0,14,10.585623
20.0,6,10.586478
20.0,6,10.587331
0.0,20,10.590219
20.0,9,10.591499
5.0,9,10.592772
0.0,8,10.593902
10.0,7,10.594958
0.0,11,10.596591
0.0,11,10.598374
-20.0,19,10.601138
-30.0,41,10.606887
10.0,10,10.608338
10.0,7,10.609331
-15.0,8,10.610453
5.0,9,10.611708
-110.0,9,10.612937
10.0,13,10.614711
0.0,8,10.615823
10.0,7,10.616868
15.0,8,10.618031
-65.0,40,10.623504
-60.0,35,10.628252
25.0,13,10.630039
10.0,7,10.631025
25.0,7,10.632003
0.0,8,10.633126
25.0,7,10.634118
0.0,11,10.635644
-10.0,12,10.637304
15.0,17,10.639641
5.0,6,10.640489
-10.0,15,10.642536
15.0,5,10.64325
-25.0,18,10.645702
-80.0,6,10.646538
20.0,6,10.647388
-5.0,7,10.648372
70.0,26,10.651913
15.0,5,10.652617
-5.0,16,10.6548
0.0,11,10.656316
15.0,5,10.657028
40.0,7,10.658008
-135.0,65,10.666714
-5.0,10,10.668103
145.0,11,10.66963
-20.0,19,10.672208
25.0,7,10.673188
-5.0,10,10.674564
-15.0,17,10.676881
-20.0,19,10.679435
-25.0,12,10.681026
-30.0,23,10.684028
30.0,8,10.685108
-80.0,28,10.688767
-55.0,54,10.695798
10.0,22,10.698699
-10.0,12,10.700298
-15.0,11,10.701762
5.0,9,10.702963
-230.0,124,10.720278
-10.0,12,10.72193
15.0,5,10.722622
45.0,8,10.723707
5.0,9,10.724936
20.0,6,10.72576
20.0,10,10.72713
25.0,7,10.728078
15.0,78,10.738229
15.0,5,10.738913
-15.0,20,10.741692
5.0,6,10.742536
5.0,6,10.743377
5.0,21,10.746142
25.0,7,10.747093
-20.0,22,10.749999
-85.0,8,10.75107
-5.0,10,10.7524
5.0,12,10.753973
30.0,8,10.75506
-35.0,16,10.75715
125.0,5,10.757858
-20.0,16,10.759992
25.0,7,10.760939
40.0,7,10.761873
0.0,17,10.764093
-35.0,19,10.766559
15.0,8,10.767637
15.0,5,10.768321
10.0,10,10.769789
5.0,9,10.771113
-45.0,23,10.774385
25.0,7,10.775348
-15.0,11,10.776815
20.0,15,10.779097
0.0,11,10.780764
40.0,10,10.782195
-30.0,14,10.784171
15.0,5,10.784886
20.0,6,10.785728
5.0,6,10.786574
-5.0,7,10.787559
15.0,5,10.788284
-5.0,7,10.789276
15.0,14,11.035168
0.0,8,11.036333
-25.0,18,11.038781
5.0,6,11.03963
-80.0,6,11.040464
-5.0,13,11.042232
80.0,34,11.046798
10.0,7,11.047778
15.0,8,11.04888
5.0,9,11.050114
-15.0,11,11.051607
15.0,14,11.053499
-85.0,8,11.054604
60.0,8,11.055702
25.0,7,11.056677
0.0,14,11.058573
30.0,11,11.060067
5.0,6,11.060904
-120.0,19,11.063446
-80.0,40,11.068774
-15.0,14,11.070682
-35.0,19,11.073234
-5.0,7,11.074195
-15.0,14,11.076093
-85.0,11,11.07758
-150.0,74,11.087377
-80.0,16,11.089533
35.0,6,11.090369
15.0,8,11.091467
20.0,30,11.095452
25.0,7,11.096413
10.0,10,11.097787
-5.0,19,11.101242
-40.0,15,11.103597
-5.0,7,11.104786
0.0,14,11.109223
-40.0,24,11.112701
15.0,11,11.114285
25.0,7,11.115303
5.0,6,11.116181
25.0,16,11.118429
15.0,8,11.119668
-85.0,8,11.120804
5.0,9,11.122064
-15.0,20,11.124776
45.0,5,11.125478
110.0,16,11.127761
10.0,13,11.129683
20.0,6,11.130571
5.0,12,11.132286
20.0,6,11.133159
5.0,6,11.134028
15.0,11,11.13558
-60.0,38,11.140823
15.0,5,11.141557
-10.0,21,11.144471
15.0,5,11.145199
5.0,6,11.146066
-65.0,49,11.152815
-25.0,15,11.154911
-30.0,20,11.157679
15.0,5,11.158408
-5.0,13,11.160234
15.0,20,11.163007
30.0,8,11.164156
-85.0,8,11.165287
-20.0,13,11.16711
-15.0,11,11.168662
0.0,8,11.169802
-10.0,12,11.171489
-5.0,7,11.172489
15.0,5,11.17321
5.0,6,11.174074
0.0,17,11.176434
-10.0,12,11.178106
-70.0,42,11.183891
-5.0,7,11.184897
-30.0,26,11.188565
-5.0,16,11.190801
15.0,8,11.191944
-5.0,7,11.192946
5.0,12,11.19462
20.0,9,11.195891
-10.0,9,11.197156
-5.0,19,11.19979
0.0,11,11.201333
15.0,8,11.202465
-5.0,10,11.203867
20.0,6,11.20472
-5.0,10,11.206118
-20.0,16,11.208342
-95.0,9,11.209606
-100.0,69,11.219028
-10.0,12,11.220722
0.0,8,11.22186
45.0,5,11.222585
10.0,7,11.223583
30.0,8,11.224719
25.0,7,11.225725
10.0,10,11.227135
-10.0,15,11.229241
-10.0,9,11.230517
-10.0,12,11.232191
-20.0,19,11.234761
-70.0,42,11.240325
15.0,5,11.241026
30.0,8,11.242121
15.0,8,11.243218
-30.0,20,11.245891
15.0,5,11.246595
-55.0,36,11.251378
-80.0,55,11.258643
25.0,7,11.25961
15.0,17,11.261885
45.0,20,11.264558
10.0,7,11.265516
-10.0,9,11.266736
20.0,6,11.26757
15.0,8,11.268672
30.0,8,11.269766
-415.0,159,11.290653
-35.0,19,11.293211
10.0,7,11.294178
-80.0,6,11.295006
25.0,13,11.296769
35.0,9,11.298006
10.0,7,11.298972
15.0,5,11.299677
0.0,8,11.300774
-25.0,15,11.302801
-5.0,7,11.303769
-65.0,34,11.308304
25.0,7,11.309272
35.0,9,11.3105
20.0,15,11.312524
15.0,5,11.313245
0.0,8,11.314351
5.0,6,11.315189
-5.0,7,11.316167
20.0,6,11.317021
-30.0,17,11.560043
-125.0,18,11.562588
-55.0,15,11.564667
35.0,9,11.565931
15.0,11,11.567459
5.0,6,11.568306
20.0,6,11.569151
-10.0,24,11.572376
-30.0,23,11.575467
5.0,6,11.576305
-10.0,21,11.579132
15.0,5,11.579837
-60.0,38,11.584929
-100.0,11,11.586439
25.0,7,11.587423
-95.0,22,11.590387
-30.0,29,11.594295
0.0,11,11.595802
-5.0,10,11.597171
135.0,10,11.59855
10.0,7,11.599526
30.0,8,11.600632
-20.0,16,11.602797
15.0,5,11.603505
10.0,7,11.604475
15.0,5,11.605175
15.0,5,11.605877
20.0,6,11.606722
-5.0,7,11.607694
-30.0,23,11.610795
15.0,5,11.611499
35.0,12,11.613133
-85.0,72,11.622689
35.0,9,11.623931
-35.0,22,11.626871
-5.0,7,11.627843
-150.0,86,11.639174
-20.0,16,11.641342
30.0,8,11.642447
5.0,9,11.643679
0.0,14,11.645578
0.0,8,11.646682
-10.0,15,11.648724
20.0,6,11.649572
60.0,11,11.651066
10.0,7,11.652034
30.0,11,11.65353
-15.0,23,11.65663
10.0,10,11.658003
25.0,10,11.659378
15.0,8,11.660482
10.0,7,11.661459
5.0,6,11.662293
25.0,7,11.663262
-5.0,7,11.664233
40.0,10,11.6656
10.0,7,11.666588
15.0,5,11.667296
10.0,7,11.668268
5.0,6,11.669105
15.0,5,11.669805
-5.0,7,11.670773
-10.0,9,11.672012
-80.0,46,11.678153
15.0,5,11.678857
-60.0,35,11.683865
-5.0,7,11.684909
25.0,7,11.685936
-25.0,12,11.687646
-25.0,15,11.689858
25.0,13,11.691705
25.0,7,11.692715
25.0,7,11.693718
10.0,10,11.695119
-15.0,14,11.69705
25.0,7,11.698046
15.0,5,11.69876
-80.0,9,11.699958
-10.0,9,11.701193
20.0,9,11.702447
15.0,5,11.70316
20.0,6,11.70401
15.0,5,11.704727
-20.0,22,11.707734
5.0,18,11.710772
15.0,8,11.711911
5.0,9,11.713167
15.0,11,11.714685
20.0,9,11.715936
10.0,7,11.719844
-5.0,10,11.721258
10.0,7,11.722249
5.0,6,11.723099
25.0,13,11.724899
0.0,8,11.726018
0.0,11,11.727541
20.0,6,11.728389
10.0,10,11.729781
5.0,6,11.73062
5.0,6,11.731461
5.0,6,11.732318
-40.0,24,11.735563
20.0,6,11.736411
0.0,17,11.738723
20.0,6,11.739559
25.0,7,11.740538
5.0,6,11.741534
-30.0,17,11.74414
25.0,7,11.745137
10.0,10,11.746538
-100.0,14,11.748514
0.0,14,11.750475
10.0,10,11.751929
-5.0,7,11.752968
5.0,6,11.753831
30.0,8,11.754945
35.0,15,11.757086
10.0,7,11.758094
0.0,17,11.760918
5.0,9,11.762305
5.0,9,11.763709
-45.0,26,11.767578
15.0,8,11.768782
10.0,13,11.770702
-5.0,13,11.772628
5.0,6,11.773534
15.0,8,11.774722
15.0,8,11.775912
-85.0,5,11.776664
20.0,6,11.777537
10.0,7,11.77855
0.0,14,11.780456
-15.0,8,11.781568
25.0,7,11.782546
-15.0,14,11.784448
-30.0,20,11.787146
-5.0,10,11.788556
10.0,7,11.789547
5.0,18,11.791992
10.0,13,11.793776
-15.0,23,11.79689
30.0,8,11.798011
0.0,8,11.799123
20.0,12,11.800772
-90.0,29,11.804633
30.0,11,11.806334
-75.0,35,11.811213
5.0,6,11.812409
0.0,8,11.813759
10.0,10,11.815175
15.0,8,11.816305
140.0,11,11.817853
-5.0,7,11.818836
15.0,8,11.819966
5.0,12,11.821579
-80.0,9,11.822779
5.0,21,11.825532
20.0,9,11.826744
-5.0,10,11.828076
0.0,26,11.831459
5.0,6,11.832278
-15.0,26,11.835639
65.0,9,11.836835
10.0,10,11.838162
20.0,6,11.838961
10.0,7,11.839896
15.0,5,11.840579
15.0,5,11.841257
20.0,9,11.842451
5.0,9,11.843635
-5.0,13,11.845325
-30.0,14,11.847154
25.0,7,11.848091
-5.0,10,11.849406
-20.0,19,11.851895
-5.0,16,12.126131
25.0,7,12.127201
15.0,17,12.12957
10.0,10,12.130977
-5.0,13,12.132908
0.0,8,12.134078
5.0,12,12.135745
-10.0,9,12.137009
-5.0,10,12.138396
-15.0,8,12.139516
-15.0,17,12.141838
10.0,10,12.143254
0.0,8,12.144371
0.0,11,12.14588
30.0,8,12.146989
10.0,7,12.147964
-30.0,35,12.152658
-5.0,10,12.154045
30.0,11,12.155545
15.0,8,12.156649
-5.0,7,12.157619
15.0,5,12.158323
5.0,6,12.159159
20.0,6,12.159994
45.0,5,12.160696
0.0,11,12.1622
-5.0,7,12.16318
-110.0,49,12.170193
20.0,7,12.171315
-90.0,7,12.172298
5.0,6,12.173147
-85.0,45,12.179265
10.0,7,12.180333
0.0,8,12.181497
50.0,25,12.185018
-5.0,7,12.186029
35.0,9,12.187309
10.0,7,12.188326
5.0,6,12.189197
-90.0,7,12.190205
-5.0,7,12.191218
0.0,20,12.19403
15.0,11,12.19555
-15.0,11,12.197065
10.0,7,12.198045
10.0,10,12.199481
-120.0,62,12.20801
10.0,10,12.209432
20.0,6,12.210296
-70.0,36,12.215357
10.0,10,12.216752
-5.0,7,12.217733
-5.0,10,12.219109
35.0,15,12.221154
30.0,8,12.22226
-5.0,7,12.223236
-5.0,10,12.224727
5.0,6,12.22561
5.0,6,12.226578
10.0,7,12.227642
5.0,6,12.228513
15.0,8,12.229655
5.0,9,12.230924
25.0,7,12.23191
-5.0,10,12.233298
0.0,17,12.235813
-20.0,13,12.237671
-5.0,7,12.238681
5.0,6,12.23954
0.0,8,12.240703
-10.0,12,12.242361
5.0,6,12.243221
15.0,5,12.24393
30.0,8,12.245053
30.0,8,12.246159
5.0,6,12.247006
10.0,10,12.248459
0.0,8,12.249584
20.0,6,12.250423
25.0,7,12.251405
25.0,7,12.252378
5.0,6,12.253222
10.0,7,12.254195
10.0,7,12.255168
-20.0,13,12.256989
15.0,5,12.257728
-10.0,18,12.260186
-125.0,15,12.262231
15.0,5,12.262943
5.0,6,12.263793
5.0,6,12.264638
0.0,11,12.266147
20.0,6,12.266989
0.0,8,12.268227
-60.0,29,12.272149
15.0,8,12.273257
-5.0,10,12.274623
230.0,7,12.275616
-20.0,16,12.277786
15.0,5,12.278489
15.0,11,12.280008
-15.0,11,12.281522
5.0,9,12.282768
5.0,6,12.283605
20.0,6,12.284442
-5.0,10,12.2858
10.0,10,12.287164
-75.0,7,12.288129
15.0,11,12.289637
0.0,8,12.290811
-50.0,19,12.293516
15.0,11,12.295078
15.0,5,12.295849
20.0,6,12.296716
-15.0,23,12.299833
5.0,6,12.300687
20.0,6,12.301527
5.0,12,12.303163
-30.0,20,12.305818
20.0,6,12.306645
5.0,6,12.307474
-10.0,27,12.311271
-15.0,14,12.313249
5.0,6,12.314122
-20.0,25,12.317594
-5.0,7,12.318578
-85.0,8,12.319688
-105.0,56,12.327216
-10.0,9,12.328437
5.0,9,12.32964
-10.0,15,12.331786
0.0,17,12.334083
70.0,20,12.336716
-35.0,19,12.339225
15.0,5,12.339905
-65.0,34,12.344314
-5.0,13,12.346018
5.0,9,12.347208
0.0,8,12.348267
-5.0,7,12.349201
15.0,5,12.349903
-5.0,16,12.352344
20.0,6,12.353338
5.0,12,12.354973
10.0,7,12.355917
10.0,7,12.356881
15.0,5,12.357579
-70.0,42,12.36306
15.0,14,12.364983
35.0,6,12.36588
20.0,6,12.366714
25.0,7,12.367669
25.0,7,12.368624
0.0,17,12.370855
20.0,6,12.371674
150.0,12,12.373295
5.0,6,12.37411
10.0,10,12.37544
25.0,7,12.376386
-20.0,22,12.379346
35.0,9,12.38056
15.0,8,12.381637
5.0,6,12.382472
20.0,12,12.384079
0.0,14,12.385935
-5.0,7,12.386878
25.0,13,12.38859
5.0,6,12.389412
5.0,6,12.390226
25.0,7,12.391171
25.0,10,12.39249
10.0,7,12.393445
-35.0,10,12.394759
-5.0,10,12.396082
20.0,6,12.396895
25.0,10,12.398218
-10.0,21,12.400948
-5.0,13,12.402646
15.0,20,12.405219
30.0,11,12.406669
-50.0,25,12.701342
30.0,8,12.702562
-40.0,39,12.708331
30.0,11,12.712265
10.0,7,12.713421
-35.0,22,12.717666
5.0,6,12.71963
-5.0,7,12.720702
25.0,7,12.721719
20.0,6,12.722591
-5.0,7,12.723589
-85.0,36,12.728462
15.0,5,12.729175
0.0,8,12.730293
5.0,6,12.731167
50.0,15,12.733528
-35.0,40,12.739082
-20.0,31,12.743426
20.0,6,12.744285
-40.0,33,12.748906
15.0,5,12.749643
30.0,8,12.750778
20.0,9,12.75204
-15.0,11,12.753574
20.0,6,12.754476
-5.0,10,12.755964
45.0,5,12.756717
30.0,8,12.757877
-5.0,7,12.75889
-20.0,19,12.761556
-30.0,29,12.765613
25.0,7,12.766613
5.0,9,12.76787
-5.0,7,12.768854
25.0,10,12.770244
-80.0,9,12.771484
5.0,6,12.772334
15.0,8,12.773453
-5.0,7,12.774437
40.0,7,12.775425
5.0,6,12.776352
-50.0,34,12.781109
-30.0,26,12.784736
-5.0,13,12.786572
-10.0,15,12.788677
20.0,6,12.789548
-100.0,54,12.796943
35.0,9,12.798215
-40.0,21,12.80119
10.0,7,12.802193
-15.0,11,12.803802
-10.0,27,12.807491
-55.0,27,12.811142
25.0,19,12.813713
-15.0,14,12.815626
35.0,9,12.816872
10.0,7,12.817844
10.0,7,12.818815
15.0,8,12.819927
-30.0,29,12.823801
10.0,13,12.825569
30.0,14,12.827462
-90.0,13,12.829222
0.0,8,12.830325
15.0,14,12.83222
35.0,6,12.833056
-5.0,7,12.834024
10.0,7,12.834995
-10.0,9,12.836225
-5.0,13,12.837991
50.0,6,12.838825
15.0,5,12.839531
15.0,5,12.840236
35.0,12,12.841861
15.0,11,12.843362
20.0,6,12.844205
115.0,11,12.84571
-5.0,37,12.850628
-80.0,43,12.856637
-15.0,29,12.860653
10.0,19,12.863295
25.0,16,12.865546
-15.0,32,12.869907
-5.0,10,12.871295
10.0,10,12.872695
-5.0,7,12.873677
-50.0,22,12.876694
25.0,7,12.877684
5.0,6,12.878535
-5.0,7,12.879522
10.0,7,12.880512
5.0,15,12.882582
-20.0,37,12.887633
20.0,12,12.889469
5.0,6,12.890341
10.0,10,12.891752
5.0,6,12.892755
-30.0,23,12.896089
15.0,5,12.896837
30.0,8,12.897999
20.0,6,12.898878
75.0,10,12.900299
0.0,14,12.902242
10.0,7,12.903257
25.0,7,12.904318
-5.0,13,12.906246
-30.0,20,12.908967
15.0,5,12.909681
-25.0,30,12.913695
5.0,12,12.915335
35.0,9,12.916561
15.0,5,12.917263
5.0,6,12.918106
-40.0,30,12.922362
40.0,10,12.923743
-95.0,52,12.930858
10.0,7,12.931844
-10.0,15,12.933846
-45.0,29,12.93767
20.0,9,12.938879
25.0,7,12.939817
20.0,6,12.940637
25.0,7,12.94159
-15.0,14,12.943621
-35.0,31,12.947824
10.0,10,12.949208
20.0,6,12.950054
-5.0,19,12.952582
5.0,6,12.953412
25.0,7,12.954381
5.0,15,12.956563
-20.0,13,12.958352
-75.0,23,12.961399
10.0,13,12.963133
-5.0,10,12.964466
5.0,9,12.965698
-95.0,9,12.966898
-10.0,12,12.968486
0.0,8,12.969619
-15.0,11,12.971106
0.0,11,12.972591
-10.0,9,12.973795
15.0,41,12.979335
0.0,11,12.980823
25.0,7,12.981778
-40.0,51,12.989009
0.0,8,12.990109
-5.0,7,12.99107
0.0,11,12.992538
20.0,12,12.99413
-75.0,7,12.995558
-15.0,11,12.997049
10.0,7,12.998022
25.0,7,12.998983
5.0,6,12.999835
10.0,7,13.000794
-80.0,46,13.289251
0.0,8,13.290846
-10.0,24,13.294257
20.0,15,13.296446
-5.0,7,13.297483
-115.0,60,13.305788
15.0,11,13.307327
10.0,10,13.308724
20.0,6,13.309576
-10.0,9,13.311033
-15.0,14,13.313082
-25.0,9,13.314404
-5.0,13,13.31627
-20.0,10,13.317971
20.0,6,13.318886
-5.0,7,13.319911
10.0,8,13.321056
-5.0,7,13.322058
25.0,7,13.32306
15.0,5,13.323885
15.0,5,13.324634
-25.0,9,13.325899
-5.0,7,13.326887
5.0,6,13.327734
-35.0,31,13.331937
-5.0,7,13.33294
15.0,5,13.333754
15.0,11,13.335598
0.0,17,13.338035
15.0,8,13.339357
25.0,7,13.340394
25.0,7,13.341401
-150.0,77,13.351824
5.0,6,13.352817
-65.0,55,13.360435
-85.0,8,13.361571
20.0,6,13.362431
20.0,6,13.363288
-30.0,23,13.366814
5.0,6,13.367719
