#{"t_start": 1742503441.666784, "env_id": "None"}
r,l,t
-50.0,28,3.242412
20.0,9,3.243695
-135.0,19,3.246321
-85.0,8,3.247459
-100.0,8,3.248593
20.0,12,3.250287
-95.0,6,3.251149
-330.0,91,3.263558
-15.0,44,3.269604
5.0,24,3.272927
-165.0,28,3.276768
-370.0,98,3.290116
-95.0,9,3.291376
-640.0,194,3.318159
-75.0,7,3.319185
-370.0,53,3.326497
-340.0,74,3.336853
15.0,14,3.338952
-60.0,32,3.34336
-85.0,5,3.344074
-210.0,43,3.349998
-150.0,16,3.352209
-160.0,29,3.356148
-375.0,55,3.363545
-225.0,28,3.367336
25.0,7,3.368328
-200.0,48,3.374776
-225.0,43,3.380537
15.0,8,3.381658
-155.0,30,3.385697
-20.0,16,3.387887
-360.0,103,3.401482
-120.0,13,3.403243
-400.0,165,3.425145
-200.0,100,3.438152
-215.0,139,3.45702
-35.0,19,3.45953
-95.0,15,3.461509
-55.0,60,3.469305
10.0,7,3.470253
-160.0,20,3.477735
-140.0,15,3.479759
-105.0,16,3.481875
-235.0,26,3.485317
5.0,9,3.486538
-100.0,11,3.488039
-105.0,7,3.488981
-195.0,34,3.493443
-120.0,16,3.495547
-90.0,7,3.496502
-110.0,15,3.498485
10.0,7,3.499447
-50.0,22,3.50241
-475.0,110,3.756612
-565.0,202,3.784281
-130.0,20,3.787069
-155.0,15,3.789155
-310.0,50,3.79599
-25.0,18,3.798496
30.0,8,3.799637
-340.0,41,3.805255
-475.0,89,3.817357
25.0,7,3.81837
-100.0,11,3.819905
-365.0,63,3.828455
-195.0,52,3.835541
-165.0,19,3.838155
-120.0,68,3.847403
-235.0,47,3.8538
-5.0,7,3.854793
-175.0,32,3.859159
-20.0,28,3.863002
-180.0,31,3.867245
-305.0,42,3.872963
-95.0,9,3.874223
35.0,6,3.875083
-80.0,6,3.875936
-10.0,21,3.878837
-220.0,53,3.886057
-450.0,121,3.902443
-90.0,10,3.903853
-125.0,27,3.907556
-105.0,10,3.908953
-100.0,8,3.910079
-205.0,32,3.91446
-150.0,28,3.918301
5.0,21,3.921206
-145.0,17,3.923548
-115.0,54,3.9309
-145.0,17,3.933245
-145.0,26,3.9368
-160.0,29,3.940771
10.0,7,3.941772
-100.0,11,3.943294
-65.0,31,3.947557
-5.0,10,3.948967
-105.0,7,3.949961
-170.0,24,3.953256
-320.0,99,3.966479
-290.0,72,3.976211
-20.0,16,3.978365
-100.0,11,3.979842
-500.0,174,4.002595
-85.0,8,4.00368
-70.0,5,4.004366
-195.0,40,4.009617
-215.0,36,4.01435
-5.0,16,4.016489
5.0,12,4.018104
-125.0,18,4.020492
135.0,89,4.316362
-80.0,9,4.317678
-25.0,15,4.31976
-105.0,7,4.320747
15.0,5,4.321469
-145.0,20,4.324202
-70.0,5,4.324914
-90.0,7,4.325895
-65.0,76,4.336127
-25.0,45,4.342218
-45.0,26,4.345743
-80.0,6,4.34658
-130.0,26,4.350067
-15.0,17,4.352375
-180.0,19,4.35493
-15.0,14,4.356835
-90.0,47,4.363111
-205.0,38,4.368234
-90.0,7,4.369213
-80.0,6,4.370049
-130.0,23,4.373138
-105.0,7,4.374109
-85.0,5,4.374804
-120.0,16,4.376979
20.0,6,4.377829
15.0,8,4.378944
-70.0,5,4.379645
-75.0,4,4.380208
-100.0,8,4.381312
-125.0,15,4.383344
10.0,7,4.384318
-50.0,37,4.389292
0.0,11,4.390804
-415.0,113,4.405847
-40.0,33,4.41031
-260.0,51,4.417113
-95.0,15,4.419151
-20.0,19,4.421722
-75.0,53,4.4288
-620.0,192,4.454261
5.0,12,4.455889
-70.0,5,4.456599
-115.0,14,4.458495
-200.0,33,4.462875
15.0,5,4.46358
-5.0,10,4.464946
-135.0,13,4.46671
-105.0,7,4.467676
-95.0,6,4.468502
-180.0,25,4.471853
-85.0,5,4.472548
-320.0,63,4.480938
-360.0,79,4.491414
-125.0,24,4.494637
-405.0,112,4.509407
-265.0,47,4.51557
-270.0,128,4.532147
0.0,8,4.533224
-40.0,18,4.535594
-200.0,54,4.542582
-95.0,9,4.543774
-65.0,34,4.548205
-70.0,5,4.548876
-105.0,7,4.549804
-290.0,75,4.559472
-265.0,114,4.574173
-105.0,53,4.581028
15.0,5,4.81833
15.0,11,4.820037
0.0,26,4.823723
-230.0,48,4.830377
5.0,9,4.831665
-75.0,7,4.832657
5.0,6,4.833531
-230.0,115,4.849196
-95.0,6,4.850057
-100.0,8,4.851182
-35.0,22,4.854243
-140.0,18,4.85673
-105.0,7,4.857722
-265.0,50,4.864547
-265.0,59,4.872593
-115.0,8,4.873727
-125.0,15,4.875805
-15.0,23,4.878983
-25.0,39,4.884324
-305.0,93,4.896969
-100.0,17,4.899316
-110.0,12,4.90098
-170.0,55,4.908452
-475.0,125,4.926558
15.0,14,4.92851
-285.0,85,4.940089
-490.0,113,4.955441
15.0,5,4.95617
25.0,34,4.961305
-235.0,57,4.96907
-100.0,11,4.970603
-95.0,6,4.971451
-80.0,9,4.972711
35.0,6,4.973572
-365.0,60,4.981729
-125.0,12,4.983401
-425.0,102,4.997223
-5.0,7,4.998222
5.0,6,4.999078
-120.0,10,5.000467
-105.0,10,5.001862
-200.0,30,5.005941
-90.0,10,5.007332
5.0,12,5.009003
-10.0,12,5.01067
-535.0,170,5.033028
15.0,5,5.033734
15.0,11,5.035212
-65.0,40,5.040488
-75.0,4,5.041047
-105.0,10,5.042394
-100.0,14,5.044262
